id,class,family,family_cname,cname,name,fullname,is_endemic,iucn_category,source
380608,哺乳綱,Sciuridae,松鼠科,大赤鼯鼠,Petaurista philippensis grandis,"Petaurista philippensis grandis Elliot, 1839 ",1,LC,原生
444276,哺乳綱,Phocidae,海豹科,斑海豹,Phoca largha,"Phoca largha Pallas, 1811 ",0,NA,原生
380552,哺乳綱,Physeteridae,抹香鯨科,抹香鯨,Physeter macrocephalus,"Physeter macrocephalus Linnaeus, 1758 ",0,NA,原生
380575,哺乳綱,Vespertilionidae,蝙蝠科,東亞家蝠,Pipistrellus abramus,"Pipistrellus abramus Temminck, 1835 ",0,LC,原生
401695,哺乳綱,Vespertilionidae,蝙蝠科,山家蝠,Pipistrellus montanus,Pipistrellus montanus  ,1,LC,原生
401696,哺乳綱,Vespertilionidae,蝙蝠科,臺灣家蝠,Pipistrellus taiwanensis,Pipistrellus taiwanensis  ,0,LC,原生
380576,哺乳綱,Vespertilionidae,蝙蝠科,臺灣長耳蝠,Plecotus taivanus,"Plecotus taivanus Yoshiyuki, 1991 ",1,LC,原生
416107,哺乳綱,Felidae,貓科,石虎,Prionailurus bengalensis,"Prionailurus bengalensis Kerr, 1792 ",0,EN,原生
380540,哺乳綱,Delphinidae,海豚科,偽虎鯨,Pseudorca crassidens,"Pseudorca crassidens Owen, 1846 ",0,NA,原生
380560,哺乳綱,Pteropodidae,狐蝠科,臺灣狐蝠,Pteropus dasymallus formosus,"Pteropus dasymallus formosus [Gould], 1873 ",1,CR,原生
416300,哺乳綱,Muridae,鼠科,緬甸小鼠,Rattus exulans,"Rattus exulans Peale, 1848 ",0,NA,歸化
380601,哺乳綱,Muridae,鼠科,小黃腹鼠,Rattus losea,"Rattus losea Swinhoe, 1871 ",0,LC,原生
380602,哺乳綱,Muridae,鼠科,溝鼠,Rattus norvegicus,"Rattus norvegicus Berkenhout, 1769 ",0,LC,原生
380603,哺乳綱,Muridae,鼠科,玄鼠,Rattus rattus,"Rattus rattus Linnaeus, 1758 ",0,NA,原生
416099,哺乳綱,Muridae,鼠科,亞洲家鼠,Rattus tanezumi,"Rattus tanezumi Temminck, 1844 ",0,LC,原生
380561,哺乳綱,Rhinolophidae,蹄鼻蝠科,臺灣大蹄鼻蝠,Rhinolophus formosae,"Rhinolophus formosae Sanborn, 1939 ",1,LC,原生
